motion_coherence,reaction_time,correct,prior_std,raw_response_time
0.12,1.51767400000244,1,10,306.522807000001
0.24,3.13784600000145,0,80,116.76993
0.06,1.44895499999984,1,80,145.903031
0.06,1.07099200000812,1,80,71.8903430000064
0.12,1.8391690000135,0,40,441.617735000007
0.24,1.1780030000009,1,80,21.7750610000003
0.06,1.34593000001041,1,20,139.142605000001
0.24,2.45086500002071,1,20,535.238710000005
0.24,1.13278100000025,1,20,382.850667000001
0.06,1.15711000000192,0,80,88.7590170000003
0.06,2.48901299999852,1,10,403.701392999996
0.06,2.2259410000006,0,20,448.462045
0.12,2.13645800000086,1,80,606.681192
0.12,1.35435600001074,1,40,413.938804000005
0.06,0.976233999999749,1,80,606.927110999999
0.06,1.33713100000023,0,80,572.698872000001
0.12,1.22721300000558,0,80,423.532122000004
0.24,1.59977300000173,0,80,441.4493
0.06,1.68678100000034,0,80,120.241285
0.12,1.15176300000167,1,10,508.661508000005
0.12,1.92080000000169,0,80,161.439102
0.06,1.67753400001675,0,80,204.299992999993
0.06,1.38886300000013,1,80,304.858330000003
0.06,1.7120640000212,1,20,416.422756000014
0.06,1.60500599999796,0,20,463.494674999994
0.06,1.16395200000079,1,20,503.338710000002
0.12,1.42105600000104,0,80,335.599043
0.12,1.32024900001124,1,10,440.397488000002
0.06,1.47751400000197,0,20,71.4702080000006
0.06,1.28278500000306,1,40,173.171101
0.06,2.11989000000176,0,10,119.989212
0.24,2.18225400000119,0,10,310.609610000001
0.12,1.36271000000124,0,80,535.099090000002
0.12,1.33860699999968,0,80,485.518886
0.06,1.83677300001727,1,40,160.946948000012
0.24,1.91859700001078,0,20,442.574655000004
0.06,1.71064599999954,1,80,684.505318
0.12,0.765260000014678,0,10,538.253412000005
0.24,2.07571899998584,1,10,523.578734999988
0.24,1.2989720000005,0,80,508.20197
0.06,3.11393699998735,0,80,74.3721009999863
0.06,1.61788800000795,0,80,378.930374000003
0.24,1.30441400001291,0,40,449.98683400001
0.06,1.71442000000025,0,80,179.322978
0.06,1.56480600000941,1,40,590.017892000003
0.06,0.833534000004875,1,10,203.514717999991
0.06,1.44286600000123,1,80,355.40691
0.06,1.82703800000127,0,80,49.8869410000007
0.24,2.14601000000039,0,40,608.565239
0.24,1.00376800002414,0,10,399.21869400001
0.12,1.50475399999959,0,80,170.402075
0.06,1.71291200000269,1,80,8.5622260000091
0.06,1.59327000001213,1,80,41.1463480000093
0.06,2.39173999999184,0,80,166.660127999989
0.06,1.71494200000052,1,80,435.483091
0.06,1.17649200000051,1,40,86.6931459999996
0.12,2.27889500001038,1,40,340.730781000006
0.06,1.4476250000007,0,80,507.748110999994
0.06,1.17278800000167,0,20,139.278398
0.06,1.2122939999972,1,80,609.148117999983
0.12,1.13738599999851,0,80,576.113249999999
0.12,1.92134799999985,0,80,557.359041
0.12,1.7465830000001,0,10,641.226903000002
0.06,2.97537100000227,0,10,78.825568000002
0.06,2.16133599999921,0,80,277.971061
0.06,1.39695500000198,1,80,119.681989000001
0.12,1.98376299999654,1,80,24.4263150000043
0.12,1.27533200000471,0,40,469.114811000007
